ID;DBID;NAME;ART;CATEGORY;METRIK;SYNONYMS
4;GCAL;Energie (Kilokalorien);Nu;Zusammensetzung;kCal/100g;Kalorien, Energie, Energie in Kilokalorien
5;GJ;Energie (Kilojoule);Nu;Zusammensetzung;kJ/100g;Energie in Joule
6;ZW;Wasser, berechnet;Nu;Zusammensetzung;mg;Wasser
7;ZE;Eiweiß (Protein);Nu;Zusammensetzung;mg/100g;Eiweis, Eiweiß, Protein
8;ZF;Fett;Nu;Zusammensetzung;mg/100g;Fett
9;ZK;Kohlenhydrate, resorbierbar;Nu;Zusammensetzung;mg/100g;Kohlenhydrate
10;ZB;Ballaststoffe;Nu;Zusammensetzung;mg/100g;
11;ZM;Mineralstoffe (Rohasche);Nu;Zusammensetzung;mg/100g;Mineralstoffe, Rohasche
12;ZO;Organische Säuren;Nu;Zusammensetzung;mg/100g;
13;ZA;Alkohol (Ethanol);Nu;Zusammensetzung;mg/100g;Alkohol, Ethanol
14;VA;Vitamin A-Retinoläquivalent;Nu;Vitamine;µg/100g;Vitamin A, Retinoläquivalent
15;VAR;Vitamin A-Retinol;Nu;Vitamine;µg/100g;Vitamin A, Retinol
16;VAC;Vitamin A-Beta-Carotin;Nu;Vitamine;µg/100g;Vitamin A, Beta-Carotin
17;VD;Vitamin D-Calciferole;Nu;Vitamine;µg/100g;Vitamin D, Calciferole
18;VE;Vitamin E-Tocopheroläquivalent;Nu;Vitamine;µg/100g;Vitamin E, Tocopheroläquivalent
19;VEAT;Vitamin E-Alpha-Tocopherol;Nu;Vitamine;µg/100g;Vitamin E, Alpha-Tocopherol
20;VK;Vitamin K-Phyllochinon;Nu;Vitamine;µg/100g;Vitamin K, Phyllochinon
21;VB1;Vitamin B1-Thiamin;Nu;Vitamine;µg/100g;Vitamin B1, Thiamin
22;VB2;Vitamin B2-Riboflavin;Nu;Vitamine;µg/100g;Vitamin B2, Riboflavin
23;VB3;Vitamin B3-Niacin, Nicotinsäure;Nu;Vitamine;µg/100g;Vitamin B3, Niacin, Nicotinsäure
24;VB3A;Vitamin B3-Niacinäquivalent;Nu;Vitamine;µg/100g;Vitamin B3, Niacinäquivalent
25;VB5;Vitamin B5-Pantothensäure;Nu;Vitamine;µg/100g;Vitamin B5-Pantothensäure
26;VB6;Vitamin B6-Pyridoxin;Nu;Vitamine;µg/100g;Vitamin B6, Pyridoxin
27;VB7;Vitamin B7-Biotin (Vitamin H);Nu;Vitamine;µg/100g;Vitamin B7, Biotin (Vitamin H)
28;VB9G;Vitamin B9-gesamte Folsäure;Nu;Vitamine;µg/100g;Vitamin B9, gesamte Folsäure,Folsäure
29;VB12;Vitamin B12-Cobalamin;Nu;Vitamine;µg/100g;Vitamin B12, Cobalamin
30;VC;Vitamin C-Ascorbinsäure;Nu;Vitamine;µg/100g;Vitamin C, Ascorbinsäure
31;MNA;Natrium;Nu;Mineralstoffe;mg/100g;
32;MK;Kalium;Nu;Mineralstoffe;mg/100g;
33;MCA;Calcium;Nu;Mineralstoffe;mg/100g;Kalzium
34;MMG;Magnesium;Nu;Mineralstoffe;mg/100g;
